Date,Source External ID,Machine ID,Asset ID,Machine Name,Machine OEM,Machine Model,Machine Type,Org Name,Site Name,Site/Org Timezone,Group Name,Source Type,Association Start,Association End,Battery Level,Battery Voltage,External Voltage,Sensor Model,Firmware Version,Config Version,Device Mode,Primary Activity,Primary Fuel,Primary GPS,Source Status,Battery Status,Signal Status,Lat,Long,Latest Location Date,Latest Location Time,Latest Hours Date,Latest Hours Time,Last Data Date,Last Data Time
2023-11-07,350612072711623,f937ac4b-0840-4bf4-9542-4e1bb25d97de,MP13H0822,Tipper,TATA,,TIPPER_TRUCK," S & S stone crusher",default,Asia/Calcutta,unallocated,TELTONIKA,2023-07-06,,N/A,4082,18330,,,,,f,f,t,Unresponsive,GOOD,Good,23.359753,75.499886,2023-11-06,12:01:03,2023-11-06,23:37:31,2023-10-17,03:46:22
2023-11-07,862315060803342,f937ac4b-0840-4bf4-9542-4e1bb25d97de,MP13H0822,Tipper,TATA,,TIPPER_TRUCK," S & S stone crusher",default,Asia/Calcutta,unallocated,MAX ACW,2023-07-06,,99.6,3057,0,CELLULAR,V1.8.48-A,Normal operation,Normal operation,t,f,f,Responsive,GOOD,N/A,23.359753,75.499886,2023-11-06,12:01:03,2023-11-06,23:37:31,2023-11-06,23:37:31
2023-11-07,357544379639129,faa17bb8-d2a0-42a4-bc66-55069402f05d,MP13H0826,Tipper,TATA,,TIPPER_TRUCK," S & S stone crusher",default,Asia/Calcutta,unallocated,TELTONIKA,2023-07-06,,N/A,0,23946,FMT100,03.27.07.Rev.00,20220601_source_accel.cfg,,f,f,t,Responsive,GOOD,Good,23.359547,75.49979,2023-11-06,23:59:43,2023-11-06,19:05:34,2023-11-06,23:59:43
2023-11-07,862315060773123,faa17bb8-d2a0-42a4-bc66-55069402f05d,MP13H0826,Tipper,TATA,,TIPPER_TRUCK," S & S stone crusher",default,Asia/Calcutta,unallocated,MAX ACW,2023-07-06,,99.6,3066,0,CELLULAR,V1.8.48-A,Normal operation,Normal operation,t,f,f,Responsive,GOOD,N/A,23.359547,75.49979,2023-11-06,23:59:43,2023-11-06,19:05:34,2023-11-06,19:05:34
2023-11-07,357544370205219,20ec2e56-c0a6-4e95-8bef-8b7ed0081083,40340,HITACHI  ZX350LC-7-MN  2022B,HITACHI,ZX350LC-7-MN,EXCAVATOR,GROBELCO BVBA,default,Europe/Brussels,unallocated,TELTONIKA,2023-09-07,,N/A,0,0,FMT100,03.27.13.Rev.03,,,t,f,t,Unresponsive,DISCONNECTED,Unknown,,,,,,,,
2023-11-07,357544370708816,be53da79-777f-4223-adda-dc3bcf5b0741,40341,HITACHI  ZX210LC-7-MN  2022B,HITACHI,ZX210LC-7-MN,EXCAVATOR,GROBELCO BVBA,default,Europe/Brussels,unallocated,TELTONIKA,2023-09-11,,N/A,0,0,FMT100,03.25.18.Rev.08,,,t,f,t,Unresponsive,DISCONNECTED,Unknown,,,,,,,,
2023-11-07,357544370751485,cb6b82d9-ce90-44df-bbb3-753dd5931250,39656,KUBOTA  KX080-4 a2 GL  2022C,KUBOTA,KX080-4 a2 GL,EXCAVATOR,ANTOINE_SPRL,default,Europe/Brussels,unallocated,TELTONIKA,2023-04-25,,N/A,3981,12332,FMT100,03.27.13.Rev.03,20210126122900_always_on_calibrate_once.cfg,,t,f,t,Responsive,GOOD,Low,50.586558,5.450452,2023-11-06,23:59:29,2023-11-06,23:50:28,2023-11-06,23:59:29
2023-11-07,350424060060769,d1890885-709a-48c5-81a7-095d5134ed71,38510,HITACHI  ZX135US-7-MN  2022B,HITACHI,ZX135 US-7-MN ,EXCAVATOR,ANTOINE_SPRL,default,Europe/Brussels,unallocated,TELTONIKA,2022-07-13,,N/A,0,25949,FMT100,03.27.13.Rev.03,FMT100_STDCFG_05042023_v1.2.cfg,,t,f,t,Responsive,GOOD,Good,50.640905,5.582672,2023-11-06,23:59:56,2023-11-06,23:49:25,2023-11-06,23:59:56
2023-11-07,867198057242947,b8bdd3fb-6840-4232-9d1c-fe97cae8fb52,3147499,JCB Stromaggregat Q45,JCB,Q45,GENERATOR,Hahn Transporte UG - 1043429,default,Europe/Berlin,unallocated,MAX ACW,2022-11-11,,97.2,2941,0,CELLULAR,V1.8.48-A,Normal operation,Normal operation,t,f,t,Responsive,GOOD,N/A,51.34547,11.993591,2023-11-06,12:00:36,2023-11-06,21:59:46,2023-11-06,21:59:46
2023-11-07,357544370167609,0f5c4486-290b-49f9-a71b-81b0b4a6ebcf,WNCD2402KPAL01726,Wacker Neuson DV90 Raddumper,WACKERNEUSON,DV90,DUMP_TRUCK_DUMPER,Krebs & Suhr GmbH & Co. KG - 370178,default,Europe/Berlin,unallocated,TELTONIKA,2022-11-14,,N/A,0,12536,FMT100,03.27.13.Rev.03,FMT100_STDCFG_20042023_v1.3.cfg,,t,f,t,Responsive,GOOD,Good,53.94942,9.738905,2023-11-06,23:59:55,2023-11-06,23:51:23,2023-11-06,23:59:55
